bill	status	title	ch	date	desc	roll	yea	nay	passed	cls	margin
LD1937	4	An Act to Require Hospitals and Hospital-affiliated Providers to Provide Financial Assistance Programs for Medical Care	H	2025-06-17	Acc Maj Otp As Amended Rep	1591741	75	72	1	passage	0.96
LD1941	4	Resolve, Establishing the Commission to Examine the Intersection of Parole and Current Sentencing Practices	H	2026-04-07	"Acc Report ""c"" Otp-am By Ca ""b"""	1677645	77	71	1	passage	0.922
LD1941	4	Resolve, Establishing the Commission to Examine the Intersection of Parole and Current Sentencing Practices	H	2026-04-07	"Acc Report ""b"" Otp-am By Ca ""a"""	1677644	54	94	0	passage	0.574
LD1941	4	Resolve, Establishing the Commission to Examine the Intersection of Parole and Current Sentencing Practices	S	2026-04-08	Passage To Be Engrossed As Amended	1679517	20	15	1	passage	0.75
LD1941	4	Resolve, Establishing the Commission to Examine the Intersection of Parole and Current Sentencing Practices	S	2026-04-08	Accept Report 'c' Ought To Pass As Amended	1679516	21	14	1	passage	0.667
LD1949	4	An Act Regarding Energy Fairness	S	2025-06-16	Accept Report 'a' Ought To Pass As Amended	1591271	22	13	1	passage	0.591
LD1949	4	An Act Regarding Energy Fairness	S	2026-03-05	Accept Majority Ought To Pass As Amended Report	1655394	21	12	1	passage	0.571
LD1949	4	An Act Regarding Energy Fairness	H	2026-03-17	Enactment	1664341	86	56	1	passage	0.651
LD1951	4	An Act to Promote Food Processing and Manufacturing Facility Expansion and Create Jobs	H	2025-06-25	Recede And Concur	1595125	96	43	1	concurrence	0.448
LD1956	4	An Act to Amend the Law Governing the Competitive Skills Scholarship Program and Establish the Community Workforce Connections Program	H	2025-06-10	Enactment	1587797	79	66	1	passage	0.835
LD1962	4	An Act to Increase Legislative Access to Department of Corrections Facilities and to Direct the Commissioner to Establish Rules Regarding Legislator Access to Correctional and Detention Facilities	S	2026-03-26	Accept Report 'a' Ought To Pass As Amended	1670758	21	14	1	passage	0.667
LD1962	4	An Act to Increase Legislative Access to Department of Corrections Facilities and to Direct the Commissioner to Establish Rules Regarding Legislator Access to Correctional and Detention Facilities	H	2026-03-30	"Acc Report ""a"" Otp-am By Ca ""a"""	1672947	69	69	0	passage	1.0
LD1966	4	An Act to Increase Disclosure of Utility Charges and Improve Access to Distributed Generation Resources in the State	H	2026-04-02	Acc Maj Otp As Amended Rep	1675621	76	68	1	passage	0.895
LD1966	4	An Act to Increase Disclosure of Utility Charges and Improve Access to Distributed Generation Resources in the State	S	2026-04-06	Accept Majority Ought To Pass As Amended Report	1677077	20	12	1	passage	0.6
LD1966	4	An Act to Increase Disclosure of Utility Charges and Improve Access to Distributed Generation Resources in the State	H	2026-04-07	Enactment	1677418	77	70	1	passage	0.909
LD1967	4	Resolve, to Design a Maine Home Energy Navigator and Coaching Pilot Program	H	2025-06-10	Acc Maj Otp As Amended Rep	1587786	77	67	1	passage	0.87
LD1968	4	An Act to Amend the Laws Regarding Legislative Reimbursement	H	2025-06-09	Acc Maj Otp As Amended Rep	1586831	75	69	1	passage	0.92
LD1968	4	An Act to Amend the Laws Regarding Legislative Reimbursement	S	2025-06-16	Accept Majority Ought To Pass As Amended Report	1591337	18	14	1	passage	0.778
LD1968	4	An Act to Amend the Laws Regarding Legislative Reimbursement	S	2025-06-25	Enactment	1595250	18	15	1	passage	0.833
LD197	4	Resolve, to Direct the Governor's Energy Office to Conduct a Study Regarding the Future of Electric Transmission Infrastructure in the State	H	2025-05-29	Recede And Concur	1581000	73	64	0	concurrence	0.877
