bill	chamber	roll	vote_date	yea	nay	question_class	batch	title
SB0880	house	1538827	2025-04-07	74	22	passage	batch-03	AN ACT to amend Tennessee Code Annotated, Title 4, Chapter 5, relative to regulatory actions.
SB0950	house	1554724	2025-04-22	74	23	passage		AN ACT to amend Tennessee Code Annotated, Title 49, relative to education.
SB0955	house	1538800	2025-04-07	71	24	passage	batch-04	AN ACT to amend Tennessee Code Annotated, Title 63, relative to rights of conscience and free speech.
SB1004	house	1550532	2025-04-16	71	18	passage	batch-03	AN ACT to amend Tennessee Code Annotated, Title 4; Title 9; Title 29; Title 33; Title 37; Title 38; Title 39; Title 40; Title 53; Title 56; Title 62;
SB1018	house	1550370	2025-04-16	74	20	passage		AN ACT to amend Tennessee Code Annotated, Title 49, Chapter 13 and Title 49, Chapter 6, relative to public charter schools.
SB1019	house	1554346	2025-04-22	70	22	passage		AN ACT to amend Chapter __ of the Public Acts of 2025 (1st Ex. Sess. – SB 6001 / HB 6004); and Tennessee Code Annotated, Title 49, Chapter 13 and Titl
SB1034	house	1550583	2025-04-16	70	24	passage		AN ACT to amend Tennessee Code Annotated, Title 4, Chapter 1, Part 4, relative to Tennessee heritage protection.
SB1084	house	1554040	2025-04-22	72	25	passage	batch-01	"AN ACT to amend Tennessee Code Annotated, Title 4; Title 5; Title 6; Title 7; Title 8 and Title 49, Chapter 7, relative to the ""Dismantling DEI Depart"
SB1138	house	1553250	2025-04-21	71	22	passage		AN ACT to amend Tennessee Code Annotated, Title 7, Chapter 35; Title 7, Chapter 82 and Title 68, Chapter 221, relative to sewer systems.
SB1143	house	1550368	2025-04-16	74	23	passage		AN ACT to amend Tennessee Code Annotated, Title 2, relative to elections.
SB1146	house	1544841	2025-04-10	76	20	passage		AN ACT to amend Tennessee Code Annotated, Title 38; Title 53; Title 63 and Title 68, relative to psychotropic drugs.
SB1272	house	1547868	2025-04-14	72	22	passage		AN ACT, to amend Tennessee Code Annotated, Title 8, Chapter 50, Part 8; Title 49, Chapter 1, Part 6; Title 49, Chapter 1, Part 9; Title 49, Chapter 10
SB1272	house	1548489	2025-04-15	70	23	passage		AN ACT, to amend Tennessee Code Annotated, Title 8, Chapter 50, Part 8; Title 49, Chapter 1, Part 6; Title 49, Chapter 1, Part 9; Title 49, Chapter 10
SB1274	house	1551175	2025-04-17	73	23	passage		AN ACT to amend Tennessee Code Annotated, Title 68, Chapter 203, Part 1 and Title 68, Chapter 211, Part 1, relative to environmental regulatory progra
SB1310	house	1547476	2025-04-14	70	19	passage		AN ACT to amend Tennessee Code Annotated, Title 49, Chapter 13, relative to charter schools.
SB1360	house	1548823	2025-04-15	72	20	passage	batch-01	AN ACT to amend Tennessee Code Annotated, Title 29, Chapter 42 and Title 39, relative to weapons.
SB1464	house	1670926	2026-03-26	70	19	passage	batch-06	AN ACT to amend Tennessee Code Annotated, Title 4; Title 5; Title 6; Title 7; Title 8; Title 10; Title 38; Title 39; Title 40; Title 41 and Chapter 25
SB1473	house	1677102	2026-04-06	56	26	passage		AN ACT to amend Tennessee Code Annotated, Title 6; Title 7; Title 13; Title 16, Chapter 18 and Title 29, Chapter 3, relative to violations of municipa
SB1558	house	1663643	2026-03-16	67	21	passage		AN ACT to amend Tennessee Code Annotated, Title 4, Chapter 29 and Title 49, Chapter 13, relative to the Tennessee public charter school commission.
SB1585	house	1689491	2026-04-23	54	39	passage		AN ACT to amend Tennessee Code Annotated, Title 4; Title 9; Title 12; Title 48; Title 49 and Title 67, relative to education.
SB1585	senate	1688641	2026-04-22	16	14	passage		AN ACT to amend Tennessee Code Annotated, Title 4; Title 9; Title 12; Title 48; Title 49 and Title 67, relative to education.
SB1587	house	1687313	2026-04-21	73	20	passage	batch-06	AN ACT to amend Tennessee Code Annotated, Title 55, Chapter 50, relative to unlawful presence in the United States.
SB1603	house	1681193	2026-04-13	73	22	passage		AN ACT to amend Tennessee Code Annotated, Title 4; Title 9; Title 24; Title 29; Title 33; Title 38; Title 39; Title 40; Title 41; Title 43; Title 45;
SB1603	senate	1670760	2026-03-26	21	12	passage		AN ACT to amend Tennessee Code Annotated, Title 4; Title 9; Title 24; Title 29; Title 33; Title 38; Title 39; Title 40; Title 41; Title 43; Title 45;
SB1619	house	1675750	2026-04-02	72	23	passage		AN ACT to amend Tennessee Code Annotated, Title 2, relative to elections.
SB1665	house	1686750	2026-04-21	70	18	passage		AN ACT to amend Tennessee Code Annotated, Title 8, Chapter 50; Title 49, Chapter 7, Part 24 and Title 49, Chapter 6, Part 51, relative to the use of h
SB1667	house	1687816	2026-04-22	68	22	passage		AN ACT to amend Tennessee Code Annotated, Title 29; Title 55 and Title 56, relative to motor vehicle financial responsibility.
SB1668	house	1686671	2026-04-21	63	18	passage		AN ACT to amend Tennessee Code Annotated, Title 6 and Title 7, relative to penalties for violations of ordinances.
SB1680	house	1646473	2026-02-26	58	20	passage		AN ACT to amend Tennessee Code Annotated, Section 67-1-202(a)(1), relative to duties of the division of property assessments.
SB1713	house	1687321	2026-04-21	66	20	passage	batch-01	AN ACT to amend Tennessee Code Annotated, Title 4; Title 5; Title 6; Title 7 and Title 49, relative to discriminatory preferences.
SB1723	house	1686889	2026-04-21	60	28	passage		AN ACT to amend Tennessee Code Annotated, Title 4; Title 10 and Title 49, relative to the Tennessee Education Lottery Corporation.
SB1731	house	1661714	2026-03-12	55	28	passage		AN ACT to amend Tennessee Code Annotated, Title 27, Chapter 1, relative to appeals.
SB1732	house	1677061	2026-04-06	73	21	passage		AN ACT to amend Tennessee Code Annotated, Title 15, Chapter 2, relative to days of special observance.
SB1735	house	1661644	2026-03-12	68	17	passage		AN ACT to amend Tennessee Code Annotated, Title 47, relative to consumer protection.
SB1741	house	1681185	2026-04-13	74	22	passage		AN ACT to amend Tennessee Code Annotated, Title 49, relative to public institutions of higher education.
SB1747	house	1686897	2026-04-21	46	29	passage	superseded	AN ACT to amend Tennessee Code Annotated, Title 39, relative to the discharge of a firearm.
SB1747	house	1688346	2026-04-22	63	18	passage	batch-04	AN ACT to amend Tennessee Code Annotated, Title 39, relative to the discharge of a firearm.
SB1748	house	1685964	2026-04-20	73	21	passage		AN ACT to amend Tennessee Code Annotated, Title 55 and Title 65, Chapter 15, relative to commercial driver licenses.
SB1762	house	1688380	2026-04-22	72	18	passage		AN ACT to amend Tennessee Code Annotated, Title 4 and Title 49, relative to education.
SB1782	house	1663617	2026-03-16	72	21	passage		AN ACT to amend Tennessee Code Annotated, Title 55, Chapter 8, relative to electric bicycles.
SB1788	house	1676934	2026-04-06	76	20	passage	batch-05	AN ACT to amend Tennessee Code Annotated, Title 5; Title 6; Title 7 and Title 71, Chapter 5, relative to the relocation of homeless persons.
SB1822	house	1681288	2026-04-13	57	29	passage		AN ACT to amend Tennessee Code Annotated, Title 49, relative to interscholastic athletics.
SB1828	house	1673306	2026-03-30	70	22	passage		AN ACT to amend Tennessee Code Annotated, Title 49, relative to education.
SB1840	house	1678971	2026-04-08	58	30	passage	batch-05	AN ACT to amend Tennessee Code Annotated, Title 28; Title 39 and Title 40, relative to statutes of limitations.
SB1847	house	1689500	2026-04-23	62	24	passage		AN ACT to amend Tennessee Code Annotated, Title 39, relative to the defense of property.
SB1858	house	1682315	2026-04-14	76	20	passage	batch-04	AN ACT to amend Tennessee Code Annotated, Title 20, Chapter 18, relative to civil procedure.
SB1864	house	1677333	2026-04-07	71	22	passage		AN ACT to amend Tennessee Code Annotated, Title 62, Chapter 35, relative to private security.
SB1868	house	1687339	2026-04-21	59	25	passage	batch-05	AN ACT to amend Tennessee Code Annotated, Title 37, Chapter 1, Part 1, relative to children.
SB1868	senate	1685056	2026-04-15	22	11	passage	batch-05	AN ACT to amend Tennessee Code Annotated, Title 37, Chapter 1, Part 1, relative to children.
